# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# temperature_sample_count=1801
# turning_point_count=415
# minimum_tj_c=60.000000000
# maximum_tj_c=71.169736846
# equivalent_full_cycles=207.000000000
# maximum_delta_tj_c=11.169736846
# weighted_mean_delta_tj_c=1.541530441
# maximum_cycle_duration_s=362.000000000
# weighted_mean_cycle_duration_s=12.466183575
cycle_index,delta_tj_c,mean_tj_c,count,minimum_tj_c,maximum_tj_c,start_time_s,end_time_s,duration_s
112,0.251858995,60.277610013,1.0,60.151680516,60.403539511,880.000000000,881.000000000,1.000000000
113,0.493042511,60.368445459,1.0,60.121924204,60.614966715,879.000000000,882.000000000,3.000000000
114,1.300241484,60.727269096,1.0,60.077148354,61.377389838,878.000000000,886.000000000,8.000000000
115,5.309203834,62.725860476,1.0,60.071258559,65.380462394,800.000000000,804.000000000,4.000000000
116,0.501068985,60.446021454,1.0,60.195486961,60.696555946,893.000000000,895.000000000,2.000000000
117,0.572229515,60.415217287,1.0,60.129102529,60.701332044,898.000000000,900.000000000,2.000000000
118,4.336215731,62.239347445,1.0,60.071239580,64.407455311,903.000000000,907.000000000,4.000000000
119,1.565384057,63.269237844,1.0,62.486545815,64.051929872,913.000000000,915.000000000,2.000000000
120,3.139164178,62.248637843,1.0,60.679055754,63.818219933,918.000000000,922.000000000,4.000000000
121,5.339710146,62.710607314,1.0,60.040752241,65.380462387,890.000000000,911.000000000,21.000000000
122,0.172885479,60.155036579,1.0,60.068593839,60.241479318,930.000000000,933.000000000,3.000000000
123,0.374982347,60.208522681,1.0,60.021031507,60.396013854,928.000000000,935.000000000,7.000000000
124,1.698140323,60.917368248,1.0,60.068298087,61.766438410,947.000000000,950.000000000,3.000000000
125,3.379994294,61.815559211,1.0,60.125562064,63.505556358,954.000000000,958.000000000,4.000000000
126,5.992643654,62.998521543,1.0,60.002199716,65.994843370,772.000000000,938.000000000,166.000000000
127,3.165556288,61.677081457,1.0,60.094303313,63.259859601,969.000000000,973.000000000,4.000000000
128,7.257466435,63.628733217,0.5,60.000000000,67.257466435,600.000000000,962.000000000,362.000000000
129,0.774950901,62.844216327,1.0,62.456740877,63.231691778,1034.000000000,1037.000000000,3.000000000
130,0.066282443,60.830343704,1.0,60.797202482,60.863484925,1046.000000000,1047.000000000,1.000000000
131,1.378127845,61.454434817,1.0,60.765370894,62.143498739,1066.000000000,1069.000000000,3.000000000
132,2.454148307,61.289021849,1.0,60.061947696,62.516096003,1056.000000000,1062.000000000,6.000000000
133,3.553999984,61.807966646,1.0,60.030966654,63.584966639,1041.000000000,1049.000000000,8.000000000
134,7.257466435,63.628733217,0.5,60.000000000,67.257466435,962.000000000,1026.000000000,64.000000000
135,0.470636008,60.707560574,1.0,60.472242569,60.942878578,1083.000000000,1084.000000000,1.000000000
136,0.135939982,60.785890881,1.0,60.717920890,60.853860872,1088.000000000,1090.000000000,2.000000000
137,0.657880827,60.711054346,1.0,60.382113933,61.039994760,1100.000000000,1101.000000000,1.000000000
138,3.034806579,61.764082664,1.0,60.246679374,63.281485954,1094.000000000,1098.000000000,4.000000000
139,3.904975472,62.186939649,1.0,60.234451913,64.139427385,1086.000000000,1105.000000000,19.000000000
140,0.322554060,60.424392088,1.0,60.263115058,60.585669118,1109.000000000,1111.000000000,2.000000000
141,0.359044128,60.423863993,1.0,60.244341928,60.603386057,1118.000000000,1119.000000000,1.000000000
142,6.273799384,63.259141128,1.0,60.122241436,66.396040820,1108.000000000,1114.000000000,6.000000000
143,0.899904932,60.640307541,1.0,60.190355075,61.090260007,1146.000000000,1147.000000000,1.000000000
144,1.590529151,60.894356776,1.0,60.099092201,61.689621352,1144.000000000,1151.000000000,7.000000000
145,0.159853888,63.996122806,1.0,63.916195861,64.076049750,1155.000000000,1156.000000000,1.000000000
146,4.131453491,62.137866256,1.0,60.072139511,64.203593001,1127.000000000,1138.000000000,11.000000000
147,7.514665826,63.804391684,1.0,60.047058771,67.561724597,1076.000000000,1121.000000000,45.000000000
148,0.523922017,68.361174925,1.0,68.099213916,68.623135933,1162.000000000,1165.000000000,3.000000000
149,1.358617946,64.734276576,1.0,64.054967603,65.413585549,1167.000000000,1169.000000000,2.000000000
150,0.791353592,63.947907783,1.0,63.552230987,64.343584579,1177.000000000,1180.000000000,3.000000000
151,0.004361572,62.255001779,1.0,62.252820992,62.257182565,1207.000000000,1208.000000000,1.000000000
152,0.135027995,61.910719140,1.0,61.843205142,61.978233138,1213.000000000,1215.000000000,2.000000000
153,2.410204400,62.990140634,1.0,61.785038434,64.195242834,1194.000000000,1201.000000000,7.000000000
154,0.140986876,61.417062112,1.0,61.346568674,61.487555550,1227.000000000,1230.000000000,3.000000000
155,0.685740367,61.368380728,1.0,61.025510545,61.711250911,1223.000000000,1233.000000000,10.000000000
156,0.021782133,60.179597580,1.0,60.168706513,60.190488646,1242.000000000,1244.000000000,2.000000000
157,0.236178696,60.137755759,1.0,60.019666411,60.255845106,1240.000000000,1245.000000000,5.000000000
158,0.066185937,60.145979785,1.0,60.112886816,60.179072753,1251.000000000,1258.000000000,7.000000000
