# source=UNECE WLTP-DHC-12-07e official workbook
# source_workbook=C:\Projects\SiCTransistorModelDriveCycles\sim\src\drive_cycles\wltp_data\WLTP-DHC-12-07e.xls
# cycle=WLTC Class 3
# test_mode=prescribed_speed_flat_grade
time_s,v_mps,grade_deg
553.0,3.805555556,0.0
554.0,3.694444444,0.0
555.0,3.638888889,0.0
556.0,3.638888889,0.0
557.0,3.694444444,0.0
558.0,3.833333333,0.0
559.0,4.027777778,0.0
560.0,4.583333333,0.0
561.0,4.722222222,0.0
562.0,4.722222222,0.0
563.0,4.722222222,0.0
564.0,4.277777778,0.0
565.0,2.805555556,0.0
566.0,1.333333333,0.0
567.0,0.000000000,0.0
568.0,0.000000000,0.0
569.0,0.000000000,0.0
570.0,0.000000000,0.0
571.0,0.000000000,0.0
572.0,0.000000000,0.0
573.0,0.000000000,0.0
574.0,0.000000000,0.0
575.0,0.000000000,0.0
576.0,0.000000000,0.0
577.0,0.000000000,0.0
578.0,0.000000000,0.0
579.0,0.000000000,0.0
580.0,0.000000000,0.0
581.0,0.000000000,0.0
582.0,0.000000000,0.0
583.0,0.000000000,0.0
584.0,0.000000000,0.0
585.0,0.000000000,0.0
586.0,0.000000000,0.0
587.0,0.000000000,0.0
588.0,0.000000000,0.0
589.0,0.000000000,0.0
590.0,0.000000000,0.0
591.0,0.000000000,0.0
592.0,0.000000000,0.0
593.0,0.000000000,0.0
594.0,0.000000000,0.0
595.0,0.000000000,0.0
596.0,0.000000000,0.0
597.0,0.000000000,0.0
598.0,0.000000000,0.0
599.0,0.000000000,0.0
600.0,0.000000000,0.0
601.0,0.277777778,0.0
602.0,0.583333333,0.0
603.0,1.333333333,0.0
604.0,2.527777778,0.0
605.0,3.944444444,0.0
606.0,5.500000000,0.0
607.0,7.083333333,0.0
608.0,8.472222222,0.0
609.0,9.666666667,0.0
610.0,10.777777778,0.0
611.0,11.916666667,0.0
612.0,12.888888889,0.0
613.0,13.416666667,0.0
614.0,13.527777778,0.0
615.0,13.472222222,0.0
616.0,13.444444444,0.0
617.0,13.388888889,0.0
618.0,13.277777778,0.0
619.0,13.055555556,0.0
620.0,12.750000000,0.0
621.0,12.472222222,0.0
622.0,12.333333333,0.0
623.0,12.305555556,0.0
624.0,12.361111111,0.0
625.0,12.527777778,0.0
626.0,12.694444444,0.0
627.0,12.777777778,0.0
628.0,12.777777778,0.0
629.0,12.777777778,0.0
630.0,12.805555556,0.0
631.0,12.972222222,0.0
632.0,13.250000000,0.0
633.0,13.583333333,0.0
634.0,13.972222222,0.0
635.0,14.333333333,0.0
636.0,14.611111111,0.0
637.0,14.722222222,0.0
638.0,14.722222222,0.0
639.0,14.694444444,0.0
640.0,14.638888889,0.0
641.0,14.611111111,0.0
642.0,14.750000000,0.0
643.0,15.083333333,0.0
644.0,15.333333333,0.0
645.0,15.416666667,0.0
646.0,15.527777778,0.0
647.0,15.638888889,0.0
648.0,15.750000000,0.0
649.0,15.805555556,0.0
